id;brand;description;final_price;discount;original_price;regular_price
316566;PLAYADITO;Yerba Mate Playadito Suave 1 Kg;$2.567,5;-35%;$3.950;Precio regular: $3.950 x kg
389656;PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 357 Gr;$1.755;-35%;$2.700;Precio regular: $7.714,29 x kg
389653;OREO;Galletitas Dulces Rellenas Con Crema Oreo 354 Gr;$2.200;none;;Precio regular: $6.214,69 x kg
4252;NATURA;Aceite De Girasol Natura 1.5 L;$2.700;none;;Precio regular: $1.800 x lt
246322;SIN MARCA;Caja Navideña Verde 1 U;$6.490;none;;Precio regular: $6.490 x un
311934;CUISINE & CO NBE MP;Lomo De Atun En Aceite Vegetal Cuisine-co 120 Gr;$2.000;none;;Precio regular: $16.666,67 x kg
311935;CUISINE & CO NBE MP;Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto;$2.000;none;;Precio regular: $16.666,67 x kg
349411;LA CAMPAGNOLA;Atun Al Natural La Campagnola 170 Gr;$3.800;none;;Precio regular: $22.352,94 x kg
388000;ARTESANO;Pan Blanco Artesano Bimbo 500 Gr;$4.200;none;;Precio regular: $8.400 x kg
11513;LEDESMA;Azúcar Molida Clasico Ledesma 1 Kg;$1.295;none;;Precio regular: $1.295 x kg
349410;LA CAMPAGNOLA;Atun En Aceite La Campagnola 170 Gr;$3.800;none;;Precio regular: $22.352,94 x kg
246321;SIN MARCA;Caja Navideña Roja 1 U;$3.990;none;;Precio regular: $3.990 x un
389654;OREO;Galletitas Dulces Rellenas Con Crema Oreo 118 Gr;$650;-35%;$1.000;Precio regular: $8.474,58 x kg
407382;MOLINOS ALA;Arroz Largo Fino Molinos Ala 1 Kg;$2.250;none;;Precio regular: $2.250 x kg
315290;MAÑANITA;Yerba Mate 4flex Mañanita 1 Kg;$3.900;none;;Precio regular: $3.900 x kg
307587;CUISINE & CO NBE MP;Duraznos En Mitades Cuisine-co 820 Gr;$2.900;none;;Precio regular: $5.979,38 x kg
316570;PLAYADITO;Yerba Mate Suave Playadito 500 Gr;$1.600;none;;Precio regular: $3.200 x kg
241824;LEDESMA;Azúcar Molida Ledesma 1 Kg;$1.400;none;;Precio regular: $1.400 x kg
337597;CUISINE & CO NBE MP;Azucar Cuisine And Co. 1 Kg;$900;none;;Precio regular: $900 x kg
309165;CUISINE & CO NBE MP;Palmitos Trozos Cuisine & Co 400 Gr;$3.000;none;;Precio regular: $13.636,36 x kg
