sku;id;brand;description;final_price;discount;original_price;regular_price
315800;316566;PLAYADITO;Yerba Mate Playadito Suave 1 Kg;$2.567,5;-35%;$3.950;Precio regular: $3.950 x kg
387752;389656;PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 357 Gr;$1.755;-35%;$2.700;Precio regular: $7.714,29 x kg
387749;389653;OREO;Galletitas Dulces Rellenas Con Crema Oreo 354 Gr;$2.200;;;Precio regular: $6.214,69 x kg
247337;4252;NATURA;Aceite De Girasol Natura 1.5 L;$2.700;;;Precio regular: $1.800 x lt
243209;246322;SIN MARCA;Caja Navideña Verde 1 U;$6.490;;;Precio regular: $6.490 x un
311172;311934;CUISINE & CO NBE MP;Lomo De Atun En Aceite Vegetal Cuisine-co 120 Gr;$2.000;;;Precio regular: $16.666,67 x kg
311173;311935;CUISINE & CO NBE MP;Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto;$2.000;;;Precio regular: $16.666,67 x kg
348071;349411;LA CAMPAGNOLA;Atun Al Natural La Campagnola 170 Gr;$3.800;;;Precio regular: $22.352,94 x kg
386145;388000;ARTESANO;Pan Blanco Artesano Bimbo 500 Gr;$4.200;;;Precio regular: $8.400 x kg
348070;349410;LA CAMPAGNOLA;Atun En Aceite La Campagnola 170 Gr;$3.800;;;Precio regular: $22.352,94 x kg
8777;11513;LEDESMA;Azúcar Molida Clasico Ledesma 1 Kg;$1.295;;;Precio regular: $1.295 x kg
243208;246321;SIN MARCA;Caja Navideña Roja 1 U;$3.990;;;Precio regular: $3.990 x un
387750;389654;OREO;Galletitas Dulces Rellenas Con Crema Oreo 118 Gr;$650;;$1.000;Precio regular: $8.474,58 x kg
403571;407382;MOLINOS ALA;Arroz Largo Fino Molinos Ala 1 Kg;$2.250;;;Precio regular: $2.250 x kg
314524;315290;MAÑANITA;Yerba Mate 4flex Mañanita 1 Kg;$3.900;;;Precio regular: $3.900 x kg
306824;307587;CUISINE & CO NBE MP;Duraznos En Mitades Cuisine-co 820 Gr;$2.900;;;Precio regular: $5.979,38 x kg
315804;316570;PLAYADITO;Yerba Mate Suave Playadito 500 Gr;$1.600;;;Precio regular: $3.200 x kg
336700;337597;CUISINE & CO NBE MP;Azucar Cuisine And Co. 1 Kg;$900;;;Precio regular: $900 x kg
238711;241824;LEDESMA;Azúcar Molida Ledesma 1 Kg;$1.400;;;Precio regular: $1.400 x kg
308403;309165;CUISINE & CO NBE MP;Palmitos Trozos Cuisine & Co 400 Gr;$3.000;;;Precio regular: $13.636,36 x kg
311818;312580;PUREZA;Aceite Girasol Pureza 1.5 L;$2.209;;;Precio regular: $1.472,67 x lt
318735;319492;LA MERCED;Yerba Mate De Campo La Merced 500 Gr;$3.300;;;Precio regular: $6.600 x kg
311174;311936;CUISINE & CO NBE MP;Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto;$2.000;;;Precio regular: $16.666,67 x kg
307203;307965;CUISINE & CO NBE MP;Señor Pure De Tomate Cuisine & Co 520 Gr;$900;;;Precio regular: $1.730,77 x kg
42770;45595;TERRABUSI;Alfajor Terrabusi Chocolate Clásico 6 Unidades X50 Gr;$2.587,5;-25%;$3.450;Precio regular: $11.500 x kg
359196;360452;RUMBA;Galletitas Rumba 324 Gr;$2.100;;;Precio regular: $6.562,5 x kg
352748;354117;DIVERSION;Galletitas Surtido Diversion 398 Gr;$1.450;;;Precio regular: $3.717,95 x kg
826;2286;MELBA;Galletitas Dulces Rellenas Melba 360g;$1.850;;;Precio regular: $5.138,89 x kg
281647;282399;TODDY;Galletitas Chips De Chocolate Toddy 126 Gr;$942,5;-35%;$1.450;Precio regular: $11.507,94 x kg
308362;309124;CUISINE & CO NBE MP;Palmitos Enteros Cuisine-co 500 Gr;$6.800;;;Precio regular: $13.600 x kg
395381;397648;DORITOS;Doritos Sabor Queso 200 Gr;$4.500;;;Precio regular: $22.500 x kg
403669;407480;LUCHETTI;Fideos Lucchetti Tallarín N5 X500g;$1.042;;;Precio regular: $2.084 x kg
387757;389661;PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 119 Gr;$682,5;-35%;$1.050;Precio regular: $8.750 x kg
350413;351777;LEGITIMO;Aceite Girasol Legitimo 1.5 L;$2.300;;;Precio regular: $1.533,33 x lt
22495;25335;CHANGO;Azúcar Refinado Premium Chango 1 Kg;$1.125;-25%;$1.500;Precio regular: $1.500 x kg
315579;316345;CUISINE & CO NBE MP;Vainillas Cuisine And Co. 36 U;$2.600;;;Precio regular: $5.855,86 x kg
392860;394861;CEREALITAS;Galletitas Cracker Cereal Clásicas Cerealitas 3 U - 636 Gr;$2.300;;;Precio regular: $3.833,33 x kg
344530;345858;HELLMANN´S;Mayonesa Clasica Hellmann's 950 Gr;$2.350;;;Precio regular: $2.473,68 x kg
307057;307819;VANGUARDIA;Arroz Largo Fino Vanguardia 1 Kg;$2.000;;;Precio regular: $2.000 x kg
330858;331700;OREO;Galletitas Dulces De Vainilla Rellenas Con Crema Oreo 354 Gr;$1.625;-35%;$2.500;Precio regular: $7.062,15 x kg
8823;11559;NATURA;Aderezo Mayonesa Natura 475 Gr;$1.150;;;Precio regular: $2.395,83 x kg
395234;397493;OREO;Galletitas Mini Oreo 50 Gr;$390;-35%;$600;Precio regular: $1.200 x 100 gr.
247018;13994;CAÑUELAS;Aceite Cañuelas De Girasol - 1.5 L;$2.592;;;Precio regular: $1.728 x lt
344528;345856;HELLMANN´S;Mayonesa Clasica Hellmanns 475 Gr;$965;;;Precio regular: $2.031,58 x kg
395378;397645;LAY´S;Papas Fritas Clasicas Lays 230 Gr;$4.500;;;Precio regular: $19.565,22 x kg
308361;309123;CUISINE & CO NBE MP;Palmitos En Trozos Cuisine-co 500 Gr;$5.700;;;Precio regular: $11.400 x kg
391387;393358;BIMBO;Pan Blanco Bimbo 550 Gr;$3.700;;;Precio regular: $6.727,27 x kg
2953;5484;LA CAMPAGNOLA;Puré De Tomate La Campagnola 520 Gr;$700;;;Precio regular: $1.346,15 x kg
