Brand;Description;Final_price;Original_price;Discount;Regular_price;sku
PLAYADITO;Yerba Mate Playadito Suave X1kg;$1.979,87;$3.045,95;-35%;Precio regular: $3.045,95 x kg;315800
OREO;Galletitas Dulces Rellenas Con Crema Oreo 354g;$1.061,45;$1.633;-35%;Precio regular: $4.612,99 x kg;387749
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 357g;$999,7;$1.538;-35%;Precio regular: $4.394,29 x kg;387752
LEDESMA;Azúcar Ledesma Molida Clasico 1 Kg;$1.295;;;Precio regular: $1.295 x kg;8777
LA CAMPAGNOLA;Atun La Campagnola Al Natural X170g;$1.990;;;Precio regular: $11.705,88 x kg;348071
LA CAMPAGNOLA;Atun La Campagnola En Aceite X170g;$1.990;;;Precio regular: $11.705,88 x kg;348070
MAÑANITA;Yerba Mate Mañanita 4flex 1kg;$2.579,85;;;Precio regular: $2.579,85 x kg;314524
NESCAFE;Nescafé® Dolca Suave X 170gr;$2.715,33;2do al 80%;Llevando 2: $1.629,2 c/u;Precio regular: $15.972,53 x kg;390355
ARTESANO;Pan Blanco Bimbo Artesano X 500g;$2.891;;;Precio regular: $5.782 x kg;386145
CUISINE & CO NBE MP;Duraznos En Mitades Cuisine & Co;$843,7;$1.298;-35%;Precio regular: $2.676,29 x kg;306824
CUISINE & CO NBE MP;Azucar Cuisine & Co 1kg;$1.228,75;;;Precio regular: $1.228,75 x kg;336700
LA MERCED;Yerba Mate La Merced Campo O.c 500g;$1.982,3;;;Precio regular: $3.964,6 x kg;318735
LEDESMA;Azúcar Ledesma Molida 1 Kg;$1.184,18;;;Precio regular: $1.184,18 x kg;238711
CUISINE & CO NBE MP;Señor Pure De Tomate Cuisine & Co 520 Gr;$609,4;;;Precio regular: $1.171,92 x kg;307203
DORITOS;Doritos Sabor Queso X200g;$2.353,5;$3.138;-25%;Precio regular: $15.690 x kg;395381
RUMBA;Galletitas Rumba 324g;$1.190;;;Precio regular: $3.718,75 x kg;359196
TERRABUSI;Alfajor Terrabusi Chocolate Clásico 6ux50g;$1.774;;;Precio regular: $5.913,33 x kg;42770
CHANGO;Azúcar Chango Refinado Premium 1 Kg.;$1.165,6;;;Precio regular: $1.165,6 x kg;22495
CUISINE & CO NBE MP;Palmitos Trozos Cuisine & Co;$2.381;;;Precio regular: $10.822,73 x kg;308403
UNION;Yerba Mate Unión 4flex 1kg;$2.423,4;;;Precio regular: $2.423,4 x kg;330204
OREO;Galletitas Dulces Rellenas Con Crema Oreo 118g;$364,65;$561;-35%;Precio regular: $4.754,24 x kg;387750
NESQUIK;Nesquik® Original Polvo Chocolatado X 800gr;$3.597,72;2do al 80%;Llevando 2: $2.158,63 c/u;Precio regular: $4.497,15 x kg;392412
DIVERSION;Galletitas Surtido Diversion X398g;$907;;;Precio regular: $2.325,64 x kg;352748
PUREZA;Aceite Girasol Pureza 1,5l;$2.209;;;Precio regular: $1.472,67 x lt;311818
OPERA;Galletitas ópera Agrupadas 220 Gr;$792;;;Precio regular: $3.600 x kg;2818
Molinos Ala;Arroz Molinos Ala Parboil Gs X1kg;$1.746;;;Precio regular: $1.746 x kg;403561
CHOCOLINAS;Galletitas Chocolinas X262g;$770;;;Precio regular: $2.961,54 x kg;382866
NESCAFE;Nescafé® Dolca Suave X 200gr;$2.199,09;2do al 80%;Llevando 2: $1.319,45 c/u;Precio regular: $10.995,45 x kg;399812
PLAYADITO;Yerba Mate Playadito Suave X500gr;$1.587,94;;;Precio regular: $3.175,88 x kg;315804
HELLMANN´S;Mayonesa Hellmann's Clasica Doypack 950 G;$1.255;;;Precio regular: $1.321,05 x kg;344530
SURTIDO;Galletitas Surtido Bagley X398g;$1.050;;;Precio regular: $2.692,31 x kg;352755
CUISINE & CO NBE MP;Palmitos Entero 800 Gr Cuisine & Co;$5.189;;;Precio regular: $10.378 x kg;308362
NUCETE;Aceite De Oliva Nucete Extra Virgen X2000ml;$23.686,88;;;Precio regular: $11.843,44 x lt;342120
VANGUARDIA;Arroz Vanguardia Elaborado Largo Fino;$1.255,5;;;Precio regular: $1.255,5 x kg;307057
NESQUIK;Nesquik® Original Polvo Chocolatado X 360gr;$1.829,67;2do al 80%;Llevando 2: $1.097,8 c/u;Precio regular: $5.082,42 x kg;392421
LA MERCED;Yerba Mate La Merced Campo Sur O.c 500g;$1.982,3;;;Precio regular: $3.964,6 x kg;318737
LAY´S;Papas Fritas Lays Clasicas X230g;$3.138;;;Precio regular: $13.643,48 x kg;395378
TARAGUI;Yerba Mate Taragui 4flex 1kg;$2.487,43;;;Precio regular: $2.487,43 x kg;314521
LA CAMPAGNOLA;Puré De Tomate La Campagnola 520 Gr;$455;;;Precio regular: $875 x kg;2953
DORITOS;Doritos Queso 140g- X129g;$1.770,28;;;Precio regular: $13.617,54 x kg;395374
CUISINE & CO NBE MP;Vainillas Cuisine&co X36 U;$1.199;-32%;$1.763,54;Precio regular: $3.971,94 x kg;315579
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 119g;$381,55;$587;-35%;Precio regular: $4.891,67 x kg;387757
BIMBO;Pan Blanco Bimbo X 550g;$2.584;;;Precio regular: $4.698,18 x kg;391387
LAY´S;Papas Fritas Lays Clasicas X134g;$1.920,3;;;Precio regular: $14.771,54 x kg;395394
OREO;Galletitas Oreo Mini X50g;$181,35;$279;-35%;Precio regular: $558 x 100 gr.;395234
LUCHETTI;Fideos Lucchetti Tallarín N5 X500g;$1.026;;;Precio regular: $2.052 x kg;403669
CBSE;Yerba Mate Cbsé Hierbas Serranas X1kg;$2.914;;;Precio regular: $2.914 x kg;331005
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas X3uni 636g;$1.425;;;Precio regular: $2.375 x kg;392860
CUISINE & CO NBE MP;Fideos Spaguetti C&c;$879;;;Precio regular: $1.758 x kg;338136
DOS HERMANOS;Arroz Dos Hermanos Pairboil 1 Kg;$1.610,11;;;Precio regular: $1.610,11 x kg;330162
CUISINE & CO NBE MP;Fideos Tirabuzon C&c 500gr;$879;;;Precio regular: $1.758 x kg;338141
TODDY;Galletitas Toddy Chips De Chocolate 126 Gr;$565,32;$869,72;-35%;Precio regular: $6.902,54 x kg;281647
MANA;Galletitas Mana Vainilla 408g;$989;;;Precio regular: $2.472,5 x kg;359215
CHEF;Puré Chef X 100gr;$592;;;Precio regular: $5.920 x kg;384398
TRAVIATA;Galletitas De Agua Traviata 303 Gr;$580;;;Precio regular: $1.933,33 x kg;11726
ARCOR;Surtido Arcor El Kiosco 246g;$3.536;;;Precio regular: $14.373,98 x kg;330362
SONRISAS;Galle Sonrisas Frambuesa X324g;$1.086;;;Precio regular: $3.351,85 x kg;330051
CHOCOLINAS;Galletitas Chocolinas X150g;$626;;;Precio regular: $4.064,94 x kg;382863
CUISINE & CO NBE MP;Galletitas Con Chips De Chocolate 172gr C&co;$801,47;;;Precio regular: $4.659,71 x kg;306198
NUCETE;Aceite De Oliva Nucete Clásico 500 Ml;$8.301,4;;;Precio regular: $16.602,8 x lt;246123
CACHAFAZ;Alfajores Mixtos Cachafaz 12 U;$7.445;;;Precio regular: $10.340,28 x kg;31588
NESCAFE;Café Nescafe Gold En Granos X100g;$4.331,97;;;Precio regular: $43.319,7 x kg;406477
NESCAFE;Nescafé® Tradición X 170gr;$1.854,7;$2.853,39;-35%;Precio regular: $16.784,65 x kg;45373
LA MERCED;Yerba Mate La Merced Barcbacua O.c 500g;$1.982,3;;;Precio regular: $3.964,6 x kg;318742
FERRERO;Bombones Ferrero Rocher 8 U;$1.748,09;;;Precio regular: $17.480,9 x kg;8839
HELLMANN´S;Mayonesa Hellmanns Liviana 475g;$699;;;Precio regular: $1.471,58 x kg;386229
AGUILA;Chocolate Aguila Para Taza 150 Gr;$1.908,4;;;Precio regular: $12.722,67 x kg;9598
BIMBO;Pan Para Hamburguesa Con Sésamo Bimbo X 4u;$1.185;;;Precio regular: $5.642,86 x kg;387643
REX;Galletitas Rex Original 125 Gr;$477;;;Precio regular: $3.816 x kg;21198
LAY´S;Papas Fritas Lays Clasicas X85g;$1.191;$1.588;-25%;Precio regular: $19.850 x kg;395377
MATARAZZO;Fideos Matarazzo Tirabuzón N34 X500g;$1.292;;;Precio regular: $2.584 x kg;403654
LA CAMPAGNOLA;Lomo De Atún Libre De Gluten La Campagnola 300 Gr;$3.110;;;Precio regular: $10.366,67 x kg;390391
