sku;brand;description;final_price;discount;original_price;regular_price;regular_price_measure;regular_price_un;timestamp
315800;PLAYADITO;Yerba Mate Playadito Suave 1 Kg;2567.5;-35%;3950.0;3950.0;1;kg;2024-02-02 11:51:18.952
387752;PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 357 Gr;1755.0;-35%;2700.0;7714.29;1;kg;2024-02-02 11:51:18.952
387749;OREO;Galletitas Dulces Rellenas Con Crema Oreo 354 Gr;2200.0;0%;2200.0;6214.69;1;kg;2024-02-02 11:51:18.952
247337;NATURA;Aceite De Girasol Natura 1.5 L;2700.0;0%;2700.0;1800.0;1;lt;2024-02-02 11:51:18.952
243209;NO BRAND;Caja Navideña Verde 1 U;6490.0;0%;6490.0;6490.0;1;un;2024-02-02 11:51:18.952
311172;CUISINE & CO NBE MP;Lomo De Atun En Aceite Vegetal Cuisine-co 120 Gr;2000.0;0%;2000.0;16666.67;1;kg;2024-02-02 11:51:18.952
311173;CUISINE & CO NBE MP;Lomo De Atun Al Natural Cuisine & Co 120gr Escurrido 170 Gr Neto;2000.0;0%;2000.0;16666.67;1;kg;2024-02-02 11:51:18.952
348071;LA CAMPAGNOLA;Atun Al Natural La Campagnola 170 Gr;3800.0;0%;3800.0;22352.94;1;kg;2024-02-02 11:51:18.952
386145;ARTESANO;Pan Blanco Artesano Bimbo 500 Gr;4200.0;0%;4200.0;8400.0;1;kg;2024-02-02 11:51:18.952
348070;LA CAMPAGNOLA;Atun En Aceite La Campagnola 170 Gr;3800.0;0%;3800.0;22352.94;1;kg;2024-02-02 11:51:18.952
8777;LEDESMA;Azúcar Molida Clasico Ledesma 1 Kg;1295.0;0%;1295.0;1295.0;1;kg;2024-02-02 11:51:18.952
243208;NO BRAND;Caja Navideña Roja 1 U;3990.0;0%;3990.0;3990.0;1;un;2024-02-02 11:51:18.952
387750;OREO;Galletitas Dulces Rellenas Con Crema Oreo 118 Gr;650.0;0%;1000.0;8474.58;1;kg;2024-02-02 11:51:18.952
403571;MOLINOS ALA;Arroz Largo Fino Molinos Ala 1 Kg;2250.0;0%;2250.0;2250.0;1;kg;2024-02-02 11:51:18.952
314524;MAÑANITA;Yerba Mate 4flex Mañanita 1 Kg;3900.0;0%;3900.0;3900.0;1;kg;2024-02-02 11:51:18.952
