sku;Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
315800;PLAYADITO;Yerba Mate Playadito Suave X1kg;1979.87;3045.95;-35%;3045.95;1;kg;2023-12-27 14:41:54.478
387749;OREO;Galletitas Dulces Rellenas Con Crema Oreo 354g;1061.45;1633.0;-35%;4612.99;1;kg;2023-12-27 14:41:54.478
387752;PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 357g;999.7;1538.0;-35%;4394.29;1;kg;2023-12-27 14:41:54.478
8777;LEDESMA;Azúcar Ledesma Molida Clasico 1 Kg;1295.0;;;1295.0;1;kg;2023-12-27 14:41:54.478
348071;LA CAMPAGNOLA;Atun La Campagnola Al Natural X170g;1990.0;;;11705.88;1;kg;2023-12-27 14:41:54.478
348070;LA CAMPAGNOLA;Atun La Campagnola En Aceite X170g;1990.0;;;11705.88;1;kg;2023-12-27 14:41:54.478
314524;MAÑANITA;Yerba Mate Mañanita 4flex 1kg;2579.85;;;2579.85;1;kg;2023-12-27 14:41:54.478
390355;NESCAFE;Nescafé® Dolca Suave X 170gr;2715.33;;Llevando 2: $1.629,2 c/u;15972.53;1;kg;2023-12-27 14:41:54.478
386145;ARTESANO;Pan Blanco Bimbo Artesano X 500g;2891.0;;;5782.0;1;kg;2023-12-27 14:41:54.478
306824;CUISINE & CO NBE MP;Duraznos En Mitades Cuisine & Co;843.7;1298.0;-35%;2676.29;1;kg;2023-12-27 14:41:54.478
336700;CUISINE & CO NBE MP;Azucar Cuisine & Co 1kg;1228.75;;;1228.75;1;kg;2023-12-27 14:41:54.478
318735;LA MERCED;Yerba Mate La Merced Campo O.c 500g;1982.3;;;3964.6;1;kg;2023-12-27 14:41:54.478
238711;LEDESMA;Azúcar Ledesma Molida 1 Kg;1184.18;;;1184.18;1;kg;2023-12-27 14:41:54.478
307203;CUISINE & CO NBE MP;Señor Pure De Tomate Cuisine & Co 520 Gr;609.4;;;1171.92;1;kg;2023-12-27 14:41:54.478
395381;DORITOS;Doritos Sabor Queso X200g;2353.5;3138.0;-25%;15690.0;1;kg;2023-12-27 14:41:54.478
